Vehicle_Type,Vehicle_Age,Odometer,Maintenance_Count,Repair_Type,Severity,Parts_Available,Technician_Experience,Workshop_Load,Repair_Time_Hours
Van,10,378254,8,Electrical Repair,Low,1,12,1,18.25
Mini Truck,5,231963,0,Suspension Repair,High,1,6,7,42.53
Truck,3,80845,8,Oil Change,High,0,10,3,40.03
Van,3,85191,5,Transmission Repair,Low,0,5,5,86.98
Truck,10,309027,5,Tyre Replacement,Medium,0,4,4,43.86
Truck,3,107070,5,Brake Repair,Low,0,13,6,39.43
Bus,1,28719,9,Engine Repair,Medium,1,6,1,48.65
Van,7,327278,9,Engine Repair,High,0,13,4,82.75
Van,5,236385,3,Suspension Repair,Low,1,3,1,21.21
Truck,6,297935,11,Clutch Repair,High,0,2,3,75.04
Bus,2,60596,9,Oil Change,Medium,1,13,10,23.28
Mini Truck,6,185100,0,Brake Repair,Low,0,8,7,38.73
Truck,8,320530,9,Electrical Repair,Medium,0,2,1,56.63
Van,10,453128,8,Brake Repair,High,0,15,8,68.98
Truck,10,284718,5,Suspension Repair,Medium,0,12,4,47.25
Mini Truck,6,210848,11,Suspension Repair,Low,1,14,5,27.4
Mini Truck,6,189621,10,Clutch Repair,High,1,5,7,55.09
Truck,3,78329,9,Suspension Repair,Low,1,13,4,19.73
Truck,1,43713,9,Tyre Replacement,High,1,6,3,27.53
Bus,1,31260,2,Brake Repair,Low,1,12,4,11.64
Bus,6,152603,5,Brake Repair,Medium,0,12,3,33.29
Truck,5,156164,10,Oil Change,High,1,8,10,43.43
Mini Truck,11,348220,8,Battery Replacement,High,0,6,5,57.38
Van,2,82880,8,Engine Repair,High,1,11,6,61.03
Truck,10,297273,0,Transmission Repair,High,1,8,1,75.81
Mini Truck,8,366211,12,Engine Repair,Low,0,13,3,76.56
Mini Truck,6,174975,5,Oil Change,Low,1,8,9,20.8
Bus,7,247073,1,Clutch Repair,Medium,1,12,9,41.24
Van,12,583894,5,Electrical Repair,High,1,12,8,48.35
Van,7,220062,0,Clutch Repair,Medium,1,8,3,32.75
Van,6,229991,14,Engine Repair,High,1,12,6,75.01
Truck,10,352705,5,Clutch Repair,Low,0,3,6,49.62
Truck,9,273064,11,Suspension Repair,Low,1,8,3,26.01
Mini Truck,4,177199,12,Transmission Repair,Low,0,2,3,82.04
Van,5,136428,4,Tyre Replacement,High,0,13,1,53.39
Mini Truck,3,133115,0,Tyre Replacement,Medium,1,1,5,18.84
Bus,1,44028,5,Suspension Repair,Low,0,2,8,48.36
Truck,1,48500,3,Brake Repair,Low,0,10,4,31.67
Bus,4,170614,9,Tyre Replacement,Low,0,5,8,33.32
Truck,10,308246,12,Oil Change,High,0,7,1,62.61
Van,8,327363,1,Electrical Repair,Medium,1,7,2,26.44
Mini Truck,1,40532,6,Tyre Replacement,Medium,1,4,9,26.68
Bus,1,25482,9,Electrical Repair,Low,1,3,4,18.68
Bus,7,198627,14,Suspension Repair,High,0,14,4,57.43
Van,4,153787,1,Oil Change,High,1,5,2,29.81
Mini Truck,5,142985,3,Brake Repair,Medium,1,5,5,22.37
Truck,12,403089,14,Tyre Replacement,Medium,1,11,7,33.66
Bus,8,310159,1,Suspension Repair,High,0,13,5,62.99
Van,10,261797,8,Suspension Repair,Low,1,6,6,35.13
Truck,9,369304,14,Oil Change,Low,1,10,10,30.6
Van,3,114292,11,Tyre Replacement,Low,0,5,9,41.57
Mini Truck,5,159944,12,Transmission Repair,Low,1,3,4,64.53
Bus,6,262302,12,Electrical Repair,Low,1,10,5,24.01
Mini Truck,10,449453,0,Tyre Replacement,Medium,1,13,9,29.11
Bus,12,418171,12,Tyre Replacement,Medium,0,5,8,49.12
Van,9,338737,8,Brake Repair,High,0,1,10,72.59
Van,9,313399,10,Battery Replacement,High,1,3,2,37.22
Mini Truck,12,446028,7,Electrical Repair,High,0,14,1,66.96
Van,8,339888,2,Transmission Repair,High,1,1,5,83.67
Mini Truck,11,490254,3,Transmission Repair,Low,1,9,9,70.89
Bus,5,152823,7,Oil Change,Medium,1,2,9,31.44
Mini Truck,11,459236,13,Transmission Repair,Medium,1,3,7,84.94
Van,7,320084,2,Electrical Repair,High,1,15,2,31.47
Bus,9,420702,1,Oil Change,Low,1,8,3,14.31
Truck,1,41941,4,Electrical Repair,Low,1,11,9,18.37
Mini Truck,1,34504,3,Electrical Repair,Medium,1,1,6,23.14
Truck,4,192522,3,Battery Replacement,Medium,1,10,9,22.72
Van,4,103545,6,Battery Replacement,High,1,11,4,26.52
Truck,7,298470,3,Clutch Repair,Low,0,12,3,49.92
Mini Truck,8,350637,8,Brake Repair,High,0,13,9,71.65
Mini Truck,6,207155,8,Electrical Repair,High,0,7,8,63.73
Mini Truck,4,139935,10,Tyre Replacement,High,1,7,1,27.49
Bus,11,444163,0,Transmission Repair,High,0,3,2,108.43
Truck,5,209923,13,Clutch Repair,Medium,0,9,7,66.84
Truck,7,277433,6,Tyre Replacement,Low,0,7,3,45.98
Truck,8,250241,5,Clutch Repair,High,0,11,10,86.64
Van,8,231456,4,Suspension Repair,High,1,15,4,39.85
Van,8,223707,14,Oil Change,High,1,14,5,37.45
Bus,3,128113,9,Transmission Repair,Low,0,4,10,95.55
Van,2,94208,3,Electrical Repair,Medium,0,2,5,46.35
Mini Truck,8,207021,12,Tyre Replacement,Low,1,14,9,23.16
Mini Truck,4,100261,5,Transmission Repair,High,0,5,4,103.41
Bus,11,403638,1,Tyre Replacement,High,0,8,9,57.48
Mini Truck,8,331595,0,Suspension Repair,High,1,11,5,38.72
Van,11,334715,10,Clutch Repair,High,0,2,7,80.46
Van,11,542912,2,Electrical Repair,Low,0,8,1,35.76
Mini Truck,1,44630,2,Suspension Repair,High,1,1,8,41.73
Truck,4,104074,8,Clutch Repair,Low,0,8,3,50.46
Van,9,268412,13,Clutch Repair,Low,1,14,5,35.16
Bus,1,46643,0,Battery Replacement,Low,1,10,3,4.13
Mini Truck,11,419499,2,Brake Repair,Medium,0,7,10,52.94
Mini Truck,2,61238,7,Suspension Repair,Medium,0,1,9,46.71
Van,1,32867,9,Brake Repair,Medium,0,11,3,39.72
Van,11,413706,8,Transmission Repair,Low,1,13,10,70.65
Mini Truck,11,371406,8,Electrical Repair,High,1,15,1,36.84
Truck,3,76435,11,Transmission Repair,High,0,5,3,98.86
Van,7,331413,0,Brake Repair,Low,0,8,6,36.97
Truck,3,147262,4,Battery Replacement,Medium,0,4,10,46.68
Mini Truck,1,29320,4,Engine Repair,Medium,1,3,5,49.48
Truck,6,243024,3,Suspension Repair,Medium,0,12,9,59.99
Bus,5,214085,0,Engine Repair,Medium,1,14,9,55.43
Van,2,73086,9,Battery Replacement,Medium,0,9,6,37.92
Mini Truck,7,214916,6,Tyre Replacement,Low,1,1,7,21.62
Mini Truck,8,358418,16,Suspension Repair,Medium,0,3,6,70.73
Bus,10,464065,15,Tyre Replacement,Low,0,5,3,52.98
Mini Truck,3,96729,6,Tyre Replacement,Low,1,7,7,13.97
Truck,8,349211,13,Tyre Replacement,Low,1,7,10,30.74
Van,10,489812,17,Engine Repair,Low,1,13,9,60.33
Mini Truck,7,320746,14,Battery Replacement,Medium,0,6,7,41.79
Bus,2,66191,4,Clutch Repair,Low,0,9,5,44.76
Truck,6,202466,9,Clutch Repair,High,0,13,10,69.49
Van,3,127750,0,Oil Change,Low,0,5,5,28.56
Mini Truck,7,213481,2,Transmission Repair,High,0,14,1,92.13
Truck,4,139389,1,Oil Change,Low,1,6,3,6.59
Mini Truck,3,79347,9,Clutch Repair,Medium,1,14,7,35.0
Bus,3,92751,4,Oil Change,Medium,0,1,9,38.08
Van,6,210850,0,Battery Replacement,Medium,1,10,2,13.35
Bus,9,387644,12,Tyre Replacement,High,0,11,6,63.81
Van,1,27791,7,Electrical Repair,Low,0,8,10,49.21
Mini Truck,2,84484,6,Electrical Repair,Medium,0,13,5,31.65
Bus,4,140285,7,Transmission Repair,Low,0,6,4,72.67
Van,8,373139,10,Suspension Repair,Low,0,1,8,62.86
Mini Truck,4,184195,2,Brake Repair,Medium,1,1,4,26.32
Mini Truck,2,99648,9,Tyre Replacement,Low,0,12,6,42.45
Truck,10,301976,16,Battery Replacement,Low,0,8,1,40.78
Bus,12,396389,9,Transmission Repair,Medium,1,5,9,83.39
Truck,5,189668,6,Oil Change,Medium,1,14,3,16.16
Van,6,167219,14,Oil Change,High,1,7,6,39.21
Truck,10,268688,15,Oil Change,High,1,2,8,48.57
Van,11,362272,17,Electrical Repair,Low,1,6,7,31.77
Van,5,129854,9,Brake Repair,High,1,9,1,30.94
Bus,6,292765,11,Brake Repair,High,0,6,8,66.92
Bus,12,505730,11,Engine Repair,High,0,15,7,90.16
Mini Truck,8,200705,1,Transmission Repair,Low,0,15,1,70.4
Bus,5,140365,8,Transmission Repair,Low,0,10,9,81.0
Van,2,85365,0,Engine Repair,High,1,7,3,60.96
Truck,4,167337,5,Clutch Repair,High,1,11,5,47.97
Truck,11,508211,17,Clutch Repair,Low,0,7,6,62.26
Bus,2,75043,4,Suspension Repair,High,0,14,4,54.85
Bus,12,518902,4,Engine Repair,Low,0,10,8,79.46
Bus,1,41486,8,Oil Change,Medium,1,1,9,21.11
Mini Truck,1,44548,2,Oil Change,High,0,10,10,43.4
Bus,4,110336,1,Engine Repair,High,0,13,7,89.83
Truck,2,71973,8,Transmission Repair,High,1,9,1,69.47
Bus,3,127342,3,Tyre Replacement,High,0,2,10,61.89
Truck,5,184614,12,Tyre Replacement,Low,0,6,4,44.05
Truck,8,325149,8,Electrical Repair,High,1,5,8,51.86
Truck,9,402968,4,Engine Repair,Low,1,13,2,49.88
Bus,7,194248,10,Engine Repair,High,1,7,8,78.58
Mini Truck,7,209673,13,Tyre Replacement,Low,1,12,10,25.08
Mini Truck,1,36904,3,Oil Change,Low,1,2,9,16.16
Bus,1,29251,5,Battery Replacement,High,1,1,4,25.36
Mini Truck,9,330194,1,Electrical Repair,Low,1,4,1,21.66
Mini Truck,7,237575,13,Oil Change,Medium,0,3,9,44.64
Mini Truck,5,234762,0,Clutch Repair,High,0,1,4,77.58
Truck,10,281002,5,Oil Change,High,0,11,1,44.02
Bus,3,78054,9,Transmission Repair,Medium,0,12,4,86.9
Bus,10,372549,11,Engine Repair,Low,0,7,1,63.05
Mini Truck,1,29359,7,Electrical Repair,Medium,1,11,6,20.78
Bus,5,207596,9,Tyre Replacement,Low,1,5,9,22.2
Bus,12,449586,10,Engine Repair,High,0,2,9,94.9
Truck,12,587322,19,Suspension Repair,Medium,1,9,4,46.24
Bus,5,224888,5,Suspension Repair,Medium,0,14,3,45.84
Van,2,82330,9,Battery Replacement,Low,1,12,7,13.66
Mini Truck,1,32691,6,Brake Repair,Medium,0,5,9,53.26
Truck,8,202748,9,Battery Replacement,High,0,13,7,59.8
Truck,3,100787,5,Brake Repair,Medium,1,1,2,18.67
Bus,4,189246,0,Brake Repair,Medium,0,11,2,39.83
Mini Truck,2,70711,6,Oil Change,Medium,1,10,1,12.97
Bus,3,98493,4,Transmission Repair,Low,0,4,10,87.17
Bus,8,348679,8,Oil Change,High,1,5,6,38.62
Van,2,94565,5,Battery Replacement,High,0,6,8,49.01
Truck,11,483593,13,Transmission Repair,High,1,10,4,85.13
Mini Truck,6,251801,14,Brake Repair,High,0,4,6,72.88
Bus,11,516175,12,Clutch Repair,Low,1,11,8,44.78
Truck,3,106835,11,Battery Replacement,Medium,0,9,5,38.25
Truck,11,327565,18,Tyre Replacement,Low,0,10,6,51.2
Mini Truck,4,128444,3,Tyre Replacement,High,1,4,3,27.51
Van,10,475604,12,Transmission Repair,Medium,0,3,9,100.33
Bus,4,121478,6,Battery Replacement,Medium,0,5,3,45.77
Mini Truck,4,181520,11,Tyre Replacement,Low,1,11,3,11.74
Truck,3,106234,10,Tyre Replacement,Low,0,5,1,25.68
Mini Truck,10,299518,7,Tyre Replacement,High,1,5,3,33.22
Van,5,189833,10,Brake Repair,High,0,15,10,52.73
Mini Truck,6,234169,13,Brake Repair,Medium,1,12,6,28.58
Van,7,190093,14,Electrical Repair,Medium,0,4,9,55.78
Truck,1,25123,6,Transmission Repair,Low,0,11,3,66.68
Mini Truck,11,353930,4,Battery Replacement,Medium,1,8,4,23.0
Van,2,77142,8,Oil Change,Medium,1,15,5,15.46
Mini Truck,1,39514,0,Engine Repair,High,1,1,4,59.62
Mini Truck,1,35979,9,Electrical Repair,Low,1,3,5,14.48
Truck,12,319709,20,Battery Replacement,High,1,12,1,35.06
Van,8,270844,0,Suspension Repair,Medium,1,9,3,26.19
Mini Truck,8,310165,4,Electrical Repair,High,0,14,7,58.92
Truck,1,33031,6,Engine Repair,High,1,11,7,57.34
Bus,7,193605,9,Battery Replacement,Medium,1,10,8,25.44
Van,2,84256,3,Battery Replacement,High,1,14,10,30.29
Truck,5,203478,11,Clutch Repair,Medium,0,10,10,69.31
Bus,1,34243,9,Engine Repair,Low,1,13,7,44.77
Bus,4,116719,2,Engine Repair,High,1,15,7,63.23
Truck,3,88217,2,Clutch Repair,High,0,11,2,60.76
Bus,9,313980,7,Transmission Repair,Low,0,12,2,72.38
Mini Truck,7,217820,4,Engine Repair,High,1,8,5,68.61
Van,11,359733,10,Suspension Repair,High,1,12,9,54.73
Mini Truck,2,83645,8,Clutch Repair,Low,0,4,8,62.25
Mini Truck,1,35807,8,Transmission Repair,Low,1,9,1,58.71
Mini Truck,12,340388,6,Transmission Repair,High,1,7,5,81.54
Mini Truck,12,581270,8,Suspension Repair,Low,1,9,7,40.36
Mini Truck,10,320605,18,Suspension Repair,Low,0,1,10,70.23
Van,4,151769,12,Brake Repair,Low,0,10,3,42.19
Truck,7,280061,4,Oil Change,Low,1,6,6,17.71
Bus,12,535729,16,Suspension Repair,Medium,1,8,9,48.61
Mini Truck,6,235925,12,Electrical Repair,Medium,1,2,3,29.12
Bus,8,312971,8,Oil Change,Low,0,7,9,51.09
Bus,9,431280,13,Clutch Repair,Low,1,11,1,29.88
Bus,2,77179,6,Electrical Repair,Medium,1,2,3,23.97
Van,5,237928,4,Transmission Repair,Low,1,15,5,56.05
Truck,3,101439,3,Clutch Repair,Medium,1,1,9,37.95
Van,6,273195,13,Oil Change,High,0,8,1,50.23
Mini Truck,4,105974,9,Transmission Repair,Medium,0,15,4,92.47
Mini Truck,1,30680,0,Electrical Repair,High,0,9,10,64.44
Van,1,44946,4,Brake Repair,Low,1,11,10,18.57
Truck,10,451892,13,Brake Repair,High,1,10,8,47.96
Mini Truck,3,110748,5,Tyre Replacement,High,1,2,4,32.92
Bus,7,334748,8,Clutch Repair,Low,1,6,1,31.22
Mini Truck,4,146391,12,Suspension Repair,High,1,5,9,54.06
Truck,10,334375,15,Engine Repair,High,1,11,1,69.39
Bus,10,467156,17,Oil Change,Low,1,1,3,28.01
Bus,5,144285,10,Oil Change,Low,0,6,9,37.94
Bus,9,298496,0,Battery Replacement,Low,1,3,1,14.88
Van,2,86930,7,Battery Replacement,Medium,1,9,7,18.03
Mini Truck,6,245761,1,Transmission Repair,Low,1,12,5,58.95
Van,4,100484,8,Clutch Repair,High,0,14,10,73.22
Mini Truck,12,569642,8,Brake Repair,High,1,3,4,47.17
Van,3,131277,0,Electrical Repair,High,1,12,10,38.1
Bus,3,135194,6,Battery Replacement,Medium,0,2,8,42.86
Truck,7,280606,5,Engine Repair,High,0,6,2,92.87
Truck,8,341789,16,Tyre Replacement,Medium,0,15,7,53.35
Bus,10,331896,13,Clutch Repair,High,0,15,7,76.08
Van,3,135315,11,Tyre Replacement,Low,1,2,8,23.82
Truck,3,97447,3,Battery Replacement,High,0,1,7,57.31
Bus,12,584244,20,Battery Replacement,Low,1,13,8,31.73
Mini Truck,10,334662,8,Brake Repair,High,1,7,8,45.17
Bus,6,203090,9,Clutch Repair,Low,0,14,8,54.04
Mini Truck,9,242382,11,Brake Repair,Medium,1,10,1,26.18
Bus,6,283674,9,Suspension Repair,Low,1,14,9,33.18
Van,9,294094,17,Clutch Repair,Medium,1,4,9,51.53
Truck,3,77214,10,Battery Replacement,Medium,0,3,4,49.71
Mini Truck,11,332029,5,Brake Repair,High,0,11,6,52.74
Truck,3,149327,10,Clutch Repair,High,1,14,2,41.11
Van,1,46261,7,Oil Change,Medium,1,12,10,22.96
Truck,2,53085,7,Tyre Replacement,Low,1,13,3,6.4
Van,7,320038,7,Engine Repair,Medium,1,11,5,57.68
Mini Truck,1,32949,5,Oil Change,Medium,1,6,8,19.25
Mini Truck,9,430243,7,Engine Repair,Medium,1,12,8,63.25
Truck,8,315935,7,Brake Repair,Low,0,2,6,45.76
Bus,11,297391,10,Battery Replacement,High,0,6,3,52.44
Mini Truck,10,408204,7,Clutch Repair,Medium,1,5,1,32.9
Bus,6,283457,8,Engine Repair,Low,0,5,2,68.86
Mini Truck,1,46345,1,Tyre Replacement,Low,1,14,1,1.0
Van,7,315444,14,Brake Repair,Medium,1,14,9,36.27
Truck,12,319647,18,Battery Replacement,Medium,1,9,1,29.05
Van,4,183730,4,Transmission Repair,Medium,1,9,5,64.87
Bus,7,299001,9,Oil Change,Low,1,12,7,22.43
Bus,1,27175,6,Engine Repair,Low,1,8,4,40.17
Mini Truck,9,398514,6,Brake Repair,Medium,1,6,8,37.68
Van,10,488554,4,Battery Replacement,Low,0,9,7,53.25
Van,12,319789,4,Brake Repair,Medium,1,15,5,26.82
Van,4,129706,2,Transmission Repair,Low,1,14,6,57.97
Truck,9,315953,8,Clutch Repair,Low,1,13,7,34.05
Truck,8,254343,9,Transmission Repair,Medium,1,12,5,67.49
Mini Truck,3,91034,5,Electrical Repair,High,1,11,2,28.79
Mini Truck,5,222088,9,Brake Repair,Medium,0,8,1,41.76
Truck,3,96703,1,Clutch Repair,High,0,7,10,76.95
Truck,11,425302,3,Engine Repair,Medium,1,11,8,65.0
Mini Truck,12,330709,18,Transmission Repair,High,0,12,8,118.99
Bus,1,49115,2,Tyre Replacement,High,1,5,4,27.2
Van,1,29966,6,Electrical Repair,High,0,10,10,61.96
Van,2,86557,3,Suspension Repair,Medium,1,8,2,17.72
Mini Truck,7,283491,13,Brake Repair,Low,0,6,7,47.18
Bus,3,79203,2,Tyre Replacement,Low,0,5,10,44.37
Truck,2,63681,7,Suspension Repair,High,0,15,7,65.7
Bus,10,444083,0,Brake Repair,Medium,1,10,2,20.3
Bus,3,114902,4,Suspension Repair,Low,1,5,1,20.82
Van,4,132153,12,Electrical Repair,Low,1,5,7,27.44
Bus,7,255522,4,Suspension Repair,Low,0,9,7,46.87
Mini Truck,3,124756,3,Brake Repair,High,1,12,7,35.97
Bus,6,191405,10,Tyre Replacement,Medium,1,7,5,22.72
Truck,5,204672,0,Oil Change,Low,1,1,3,12.63
Bus,6,166658,11,Engine Repair,Medium,1,15,5,54.87
Mini Truck,8,236878,5,Clutch Repair,High,0,10,1,66.1
Mini Truck,4,130595,1,Transmission Repair,Medium,1,7,2,61.35
Bus,11,527812,9,Engine Repair,Low,1,2,2,57.84
Bus,12,540117,16,Clutch Repair,Medium,1,4,2,48.58
Van,12,304234,9,Oil Change,High,1,5,4,37.03
Mini Truck,8,370559,13,Suspension Repair,Low,0,1,9,60.99
Truck,1,28273,8,Battery Replacement,Low,0,5,4,40.04
Truck,6,174143,1,Transmission Repair,Low,1,8,9,63.73
Mini Truck,3,88616,0,Battery Replacement,High,0,9,8,42.83
Truck,10,426000,12,Clutch Repair,Medium,1,5,3,48.98
Bus,8,213861,13,Clutch Repair,High,0,3,7,91.97
Van,4,194566,1,Electrical Repair,Medium,0,12,4,33.25
Mini Truck,1,26729,2,Engine Repair,Low,0,9,7,65.71
Bus,12,309891,10,Tyre Replacement,Low,1,12,2,18.07
Truck,5,228318,2,Oil Change,Medium,1,8,1,11.48
Truck,6,169762,4,Electrical Repair,High,0,1,2,60.85
Mini Truck,4,126975,11,Clutch Repair,Low,0,3,3,51.19
Truck,1,35469,3,Tyre Replacement,Low,0,1,6,34.57
Van,11,289434,3,Oil Change,Low,0,13,4,35.86
Bus,4,129311,9,Brake Repair,Low,0,11,3,37.18
Van,9,324308,3,Engine Repair,Low,0,12,10,72.33
Bus,7,249267,10,Tyre Replacement,Low,1,3,9,24.87
Mini Truck,5,226255,12,Transmission Repair,High,1,7,1,75.94
Van,5,201500,8,Suspension Repair,Medium,0,5,3,46.69
Bus,4,157313,12,Battery Replacement,High,1,11,4,32.69
Bus,11,464017,5,Battery Replacement,Low,1,7,2,15.07
Bus,12,393094,12,Suspension Repair,Medium,1,10,2,37.1
Bus,8,302258,5,Electrical Repair,Low,0,10,7,46.93
Bus,2,67471,7,Electrical Repair,Low,0,7,10,49.14
Van,5,240101,7,Transmission Repair,Medium,1,12,6,65.96
Van,6,204625,8,Suspension Repair,Low,1,12,4,23.06
Van,5,151548,11,Suspension Repair,Medium,0,5,2,54.27
Mini Truck,2,60266,10,Battery Replacement,High,1,4,9,34.73
Van,6,221159,3,Transmission Repair,Medium,1,9,7,65.22
Van,11,288701,13,Brake Repair,Medium,0,5,10,67.02
Van,10,409493,17,Brake Repair,Medium,0,6,4,65.47
Truck,2,75798,8,Engine Repair,High,1,2,1,57.82
Van,1,41289,3,Battery Replacement,Low,1,1,8,9.05
Van,1,28126,4,Clutch Repair,High,1,14,8,42.98
Truck,9,261683,12,Transmission Repair,High,0,2,3,101.02
Bus,7,226500,9,Battery Replacement,Medium,0,6,5,42.87
Van,7,252735,11,Suspension Repair,Low,0,10,2,49.3
Van,12,457587,0,Engine Repair,Medium,1,9,2,54.35
Truck,3,129212,11,Suspension Repair,High,1,10,8,47.9
Truck,10,357478,14,Oil Change,Medium,0,4,6,48.04
Truck,1,28436,6,Brake Repair,Low,1,13,10,17.11
Truck,2,76303,3,Transmission Repair,High,0,13,2,85.64
Van,4,135674,4,Engine Repair,Medium,1,14,8,54.26
Van,11,418461,17,Brake Repair,Medium,0,14,10,68.86
Bus,2,97734,0,Brake Repair,Medium,1,10,4,15.85
Truck,2,66452,8,Brake Repair,Low,1,1,5,13.39
Truck,1,26558,4,Tyre Replacement,Low,0,9,9,37.85
Mini Truck,2,76489,8,Oil Change,High,0,15,10,47.27
Van,5,143924,1,Engine Repair,Medium,1,5,9,55.67
Bus,3,82853,3,Electrical Repair,Low,0,7,1,38.35
Truck,8,355104,3,Engine Repair,High,1,1,2,68.54
Bus,8,225921,2,Battery Replacement,Low,0,15,3,23.87
Bus,1,29435,4,Battery Replacement,High,0,3,9,62.94
Truck,5,137060,1,Tyre Replacement,High,1,14,5,25.85
Bus,3,138514,11,Brake Repair,High,0,7,8,68.47
Bus,8,299762,9,Suspension Repair,Low,0,4,9,51.22
Truck,11,536785,9,Brake Repair,High,1,2,10,55.18
Bus,3,107702,10,Tyre Replacement,Low,1,5,1,9.6
Truck,12,424501,2,Electrical Repair,Low,1,1,7,31.99
Mini Truck,11,372279,12,Brake Repair,Medium,1,14,6,34.15
Bus,3,117359,2,Battery Replacement,High,1,15,2,17.07
Truck,3,122616,4,Battery Replacement,High,0,15,8,62.34
Bus,9,362812,11,Suspension Repair,Medium,1,9,10,43.06
Van,1,26003,5,Brake Repair,High,1,7,8,36.01
Bus,11,485706,6,Electrical Repair,Medium,1,15,3,30.95
Van,8,367287,2,Battery Replacement,Low,1,7,3,11.43
Bus,7,271195,0,Transmission Repair,Medium,0,8,1,71.99
Truck,5,237593,10,Transmission Repair,Low,0,1,7,95.5
Mini Truck,3,109167,0,Clutch Repair,Medium,0,15,1,33.22
Mini Truck,7,316949,1,Transmission Repair,Low,1,3,9,71.24
Van,1,40457,6,Tyre Replacement,Low,0,2,6,29.49
Van,4,118720,8,Tyre Replacement,Low,0,9,3,31.58
Truck,9,297802,15,Electrical Repair,Low,0,6,10,66.69
Bus,1,25042,4,Brake Repair,Low,1,8,10,16.45
Truck,4,148893,12,Brake Repair,High,0,15,4,56.1
Truck,6,200918,5,Battery Replacement,Low,0,13,9,48.44
Van,1,39309,4,Brake Repair,High,1,8,9,35.03
Truck,10,449012,14,Clutch Repair,Low,0,3,9,59.8
Truck,1,34833,1,Transmission Repair,High,1,4,5,71.49
Truck,10,337272,4,Clutch Repair,Low,1,5,8,36.74
Mini Truck,8,275454,4,Clutch Repair,Low,0,2,9,69.7
Van,1,37632,3,Electrical Repair,Medium,0,11,4,46.99
Truck,11,351498,3,Engine Repair,High,1,5,4,71.05
Mini Truck,10,400918,0,Electrical Repair,Medium,1,6,8,34.46
Bus,10,399989,9,Oil Change,High,1,3,10,49.69
Truck,7,333005,13,Oil Change,High,1,6,3,34.39
Mini Truck,1,37362,1,Oil Change,Medium,1,7,8,20.68
Van,4,159290,12,Transmission Repair,Medium,1,15,1,60.5
Truck,7,258452,4,Battery Replacement,Medium,0,15,4,45.65
Truck,5,202037,8,Oil Change,Low,1,4,1,10.25
Bus,4,162771,11,Suspension Repair,High,0,11,10,76.56
Bus,5,164491,7,Battery Replacement,Low,1,13,1,8.8
Bus,11,371566,7,Tyre Replacement,Medium,0,4,5,59.02
Truck,1,33975,1,Battery Replacement,High,0,5,2,44.71
Bus,4,152208,9,Brake Repair,Medium,1,6,8,28.73
Bus,10,493313,0,Suspension Repair,Low,1,10,7,32.43
Truck,3,111379,2,Electrical Repair,Medium,0,4,4,41.39
Van,10,458359,10,Transmission Repair,Medium,0,15,4,80.85
Bus,11,348033,16,Suspension Repair,Low,0,5,1,45.35
Mini Truck,7,223187,2,Battery Replacement,Low,0,8,5,30.76
Van,3,78465,4,Brake Repair,Medium,1,9,3,18.1
Truck,6,213108,9,Tyre Replacement,Medium,1,10,4,21.52
Mini Truck,1,37983,3,Tyre Replacement,Medium,0,4,2,34.12
Van,9,236837,9,Clutch Repair,Medium,0,3,3,49.87
Mini Truck,2,94002,9,Oil Change,Low,0,11,4,28.13
Bus,10,309164,15,Battery Replacement,Low,0,1,1,29.86
Van,12,479092,13,Brake Repair,Medium,0,3,6,65.01
Bus,12,558069,2,Clutch Repair,High,1,6,10,62.59
Bus,1,48825,7,Tyre Replacement,Low,0,5,6,32.43
Van,12,422857,2,Suspension Repair,High,1,8,9,51.6
Truck,5,168450,6,Transmission Repair,Medium,1,14,4,64.84
Mini Truck,1,49251,1,Transmission Repair,Medium,0,11,10,81.48
Truck,11,511642,15,Suspension Repair,Medium,1,6,1,39.48
Bus,3,136725,10,Suspension Repair,Low,0,1,10,50.11
Truck,12,468376,15,Clutch Repair,Low,1,11,2,39.14
Truck,3,92307,3,Brake Repair,High,0,7,8,64.01
Mini Truck,1,37660,7,Suspension Repair,Low,1,4,3,20.69
Van,4,189647,7,Brake Repair,High,1,10,3,35.8
Truck,3,124617,10,Clutch Repair,High,1,11,9,54.09
Bus,7,232847,15,Brake Repair,Low,1,14,3,18.27
Bus,4,102827,0,Oil Change,High,0,8,6,48.55
Van,4,192148,11,Brake Repair,Low,0,5,7,44.14
Mini Truck,7,335590,6,Tyre Replacement,Medium,1,2,8,31.7
Van,11,535535,13,Electrical Repair,High,0,15,6,67.36
Van,1,28088,1,Transmission Repair,High,0,14,7,90.34
Van,12,524379,12,Transmission Repair,Low,1,8,4,68.52
Bus,2,59469,7,Tyre Replacement,Medium,1,6,4,16.93
Van,8,295795,12,Electrical Repair,Medium,1,7,5,32.46
Mini Truck,9,301940,13,Tyre Replacement,Low,1,14,10,24.7
Bus,12,492732,3,Oil Change,Medium,1,11,3,24.31
Bus,1,38542,9,Tyre Replacement,High,1,6,7,33.89
Bus,2,59371,10,Oil Change,Medium,0,13,8,45.01
Mini Truck,3,105332,11,Electrical Repair,High,0,10,8,69.84
Van,5,214760,4,Tyre Replacement,Low,0,10,2,32.85
Mini Truck,11,469640,0,Tyre Replacement,Low,0,5,8,54.21
Truck,5,244368,5,Battery Replacement,High,1,14,3,26.28
Bus,2,84062,4,Oil Change,Medium,0,4,4,42.82
