Vehicle_Type,Fuel_Type,Vehicle_Age,Average_Mileage,Trip_Distance,Max_Capacity,Cargo_Weight,Traffic,Road_Type,AC,Fuel_Required
Bus,Petrol,10,3.41,520,1,0,High,Mixed,0,213.5
Van,Diesel,2,12.18,914,1362,170,Low,Mixed,0,83.44
Van,Diesel,7,14.62,538,1550,971,High,Highway,0,52.46
Bus,Diesel,8,4.09,29,0,0,Medium,Mixed,1,9.79
Van,Petrol,11,9.38,475,871,125,High,City,1,79.38
Bus,Diesel,6,4.46,123,1,0,High,Mixed,0,36.88
Bus,Petrol,11,3.96,910,1,1,Medium,City,0,351.3
Mini Truck,Petrol,12,7.52,848,1665,1213,Medium,Mixed,0,162.7
Bus,Diesel,4,4.63,621,0,0,High,Mixed,1,185.86
Mini Truck,Petrol,5,9.89,644,2398,215,High,Mixed,0,87.92
Truck,Diesel,1,4.6,253,8575,7859,High,Highway,0,77.56
Bus,Diesel,2,4.41,946,1,1,Medium,Highway,1,289.12
Mini Truck,Petrol,12,9.75,654,3116,1218,High,Mixed,1,104.59
Bus,Petrol,3,4.12,356,1,1,High,Mixed,1,135.54
Van,Diesel,10,9.31,471,793,73,High,Mixed,1,75.02
Truck,Diesel,5,4.59,643,6072,5237,Medium,Highway,1,188.21
Truck,Petrol,10,4.59,850,7303,2692,Low,City,0,245.22
Mini Truck,Petrol,3,8.09,127,2602,2143,Low,Highway,0,18.81
Truck,Diesel,9,4.51,136,10117,8787,Low,Mixed,0,39.55
Mini Truck,Diesel,5,9.78,31,2378,2361,Low,Mixed,0,4.32
Truck,Petrol,8,4.73,171,9068,5171,High,City,1,55.81
Van,Diesel,6,9.54,782,1845,641,High,Mixed,0,117.1
Mini Truck,Diesel,11,7.27,424,1518,1378,Low,Mixed,0,77.7
Truck,Diesel,10,3.24,565,7073,7025,Low,Mixed,1,244.04
Bus,Diesel,11,4.73,269,1,0,High,City,0,82.34
Truck,Petrol,9,5.39,63,11229,2015,Medium,City,0,17.38
Van,Petrol,4,13.29,91,923,410,Medium,Mixed,1,8.49
Van,Petrol,7,9.84,242,1400,161,High,City,1,38.99
Van,Diesel,6,10.45,741,1767,123,Low,Mixed,1,84.63
Bus,Petrol,2,3.73,701,1,1,Low,Highway,1,232.87
Mini Truck,Petrol,4,8.34,385,3326,761,Medium,Highway,0,53.19
Mini Truck,Petrol,4,7.57,63,3780,2512,High,Highway,0,12.96
Mini Truck,Petrol,3,7.83,628,1648,1115,Medium,Mixed,1,110.64
Mini Truck,Diesel,6,9.66,553,2208,725,Low,City,1,74.86
Bus,Diesel,12,4.37,55,0,0,Low,Mixed,1,15.92
Bus,Diesel,6,4.07,868,1,1,Medium,Highway,1,297.04
Truck,Diesel,4,5.01,158,11959,20,Medium,Highway,0,37.3
Bus,Diesel,8,3.84,976,1,0,High,Highway,1,344.86
Bus,Petrol,8,3.23,626,0,0,Medium,Highway,0,228.26
Mini Truck,Diesel,7,7.98,603,2065,14,Low,Highway,1,83.13
Mini Truck,Petrol,6,9.02,896,2436,458,High,Highway,1,134.98
Mini Truck,Diesel,8,6.49,41,2089,805,High,City,0,9.91
Truck,Petrol,5,5.33,332,3575,831,Low,Mixed,0,71.84
Mini Truck,Diesel,9,7.88,387,3670,3061,High,Highway,0,70.56
Van,Petrol,5,13.57,869,1420,28,Medium,Highway,0,74.28
Truck,Diesel,10,5.74,544,8719,3162,High,City,0,145.45
Van,Diesel,7,9.8,60,1041,341,Medium,Highway,0,7.56
Van,Diesel,10,9.21,481,1836,729,Medium,Highway,0,65.49
Bus,Petrol,2,3.04,122,1,1,High,Highway,0,56.71
Bus,Petrol,4,4.68,80,0,0,High,City,1,23.85
Truck,Diesel,3,5.25,48,11912,7628,High,Mixed,1,14.74
Van,Petrol,5,14.19,229,1676,833,Low,Highway,1,20.44
Truck,Petrol,5,5.38,34,6039,2372,Medium,Mixed,0,6.0
Van,Petrol,2,9.65,56,1773,105,Low,City,1,6.03
Mini Truck,Diesel,12,7.53,32,1205,972,Low,Mixed,1,4.13
Mini Truck,Diesel,1,9.74,55,1620,1595,Low,Mixed,1,6.66
Van,Petrol,7,13.33,389,643,584,Low,City,0,40.27
Truck,Petrol,8,4.43,81,8128,245,Low,City,0,20.85
Van,Petrol,10,14.79,241,553,472,High,City,0,25.35
Van,Diesel,11,11.71,131,828,95,Low,Mixed,1,12.9
Truck,Petrol,2,4.97,210,11120,2335,Low,Highway,1,47.06
Bus,Petrol,12,3.82,527,0,0,Low,Mixed,0,165.63
Truck,Petrol,1,4.36,436,8019,2006,Low,Highway,0,104.64
Bus,Petrol,3,3.37,115,0,0,High,City,0,47.99
Van,Petrol,3,10.29,793,1703,552,Low,Highway,0,83.22
Bus,Petrol,12,4.65,404,1,0,High,Highway,0,116.1
Van,Petrol,11,12.75,250,1146,193,Low,City,1,28.29
Truck,Petrol,10,5.46,157,3394,2773,Medium,City,1,46.09
Bus,Diesel,7,3.07,128,0,0,High,Mixed,0,55.56
Bus,Diesel,3,4.61,770,1,1,High,Mixed,1,261.56
Bus,Petrol,9,3.86,239,1,0,Medium,City,0,83.94
Truck,Petrol,5,4.37,787,3387,2093,Low,City,0,234.76
Truck,Diesel,8,3.87,467,5140,702,Medium,Highway,0,146.34
Mini Truck,Diesel,7,8.43,150,3991,2561,Low,City,0,25.61
Bus,Petrol,9,3.87,536,1,0,Low,Highway,0,149.62
Mini Truck,Petrol,5,7.73,896,1606,1463,Low,Highway,0,139.61
Van,Diesel,12,13.36,171,1905,1520,Low,City,1,19.95
Truck,Diesel,4,3.01,581,3337,74,High,City,0,273.26
Bus,Petrol,8,3.48,646,0,0,Low,Highway,0,201.14
Truck,Petrol,2,4.22,613,3043,94,Low,City,0,171.17
Van,Diesel,11,11.97,709,1435,1191,High,Mixed,1,95.8
Truck,Petrol,1,4.63,576,8518,4918,Low,Mixed,1,153.16
Mini Truck,Petrol,7,6.98,963,1207,47,High,Mixed,1,198.13
Van,Diesel,7,9.71,995,698,250,Medium,Highway,0,127.9
Truck,Petrol,2,4.99,357,9051,4245,High,Highway,1,98.06
Van,Diesel,4,12.82,90,1861,24,Medium,Highway,1,8.32
Van,Petrol,7,11.47,404,1414,658,High,Mixed,1,51.13
Bus,Petrol,7,3.86,753,0,0,Low,Highway,0,209.35
Van,Petrol,11,13.33,808,785,723,High,Highway,0,91.35
Van,Diesel,9,11.68,172,1091,2,Medium,Highway,0,17.45
Bus,Diesel,8,3.52,498,1,0,Low,City,0,175.37
Mini Truck,Petrol,3,9.8,485,1910,705,Low,Highway,1,56.34
Truck,Diesel,10,3.28,738,5285,4519,Medium,Highway,0,305.31
Mini Truck,Diesel,11,6.71,374,3586,1340,High,Highway,1,79.44
Mini Truck,Diesel,1,6.24,244,3464,708,Low,City,1,48.72
Mini Truck,Diesel,1,6.34,554,3300,992,Low,City,0,105.88
Truck,Diesel,12,5.64,945,5879,1642,Low,Mixed,1,218.14
Truck,Petrol,2,3.38,752,7333,4361,Medium,Highway,1,283.68
Mini Truck,Petrol,6,6.9,792,3992,3741,Medium,City,1,175.31
Truck,Petrol,11,3.53,449,5364,3602,Low,Mixed,1,174.09
Mini Truck,Diesel,2,8.49,27,2363,969,Medium,City,0,3.75
Bus,Petrol,3,3.52,105,1,1,Medium,City,0,41.62
Van,Petrol,2,13.5,704,758,469,Low,City,1,71.53
Truck,Petrol,7,5.11,974,9347,5752,High,City,0,297.24
Van,Petrol,2,14.74,925,1772,905,Medium,Mixed,1,82.66
Bus,Petrol,8,3.93,698,0,0,Low,Mixed,0,206.85
Van,Petrol,1,9.22,330,722,522,High,Mixed,1,52.73
Bus,Diesel,3,3.47,334,1,0,Low,City,1,118.71
Mini Truck,Diesel,2,6.6,883,2377,1772,Medium,Mixed,1,185.54
Van,Petrol,5,12.45,429,852,17,High,Mixed,1,48.08
Bus,Diesel,2,3.2,579,1,0,High,Highway,0,223.42
Mini Truck,Diesel,1,9.43,334,2757,956,Low,City,1,44.24
Van,Diesel,9,12.1,449,1701,1641,High,Highway,1,55.81
Mini Truck,Petrol,1,7.39,64,1402,206,Low,Highway,0,7.98
Bus,Petrol,4,4.31,841,1,0,High,Highway,0,245.78
Truck,Diesel,12,4.2,781,8094,5007,High,City,0,296.92
Van,Petrol,3,9.6,913,1995,1314,High,City,0,145.24
Truck,Diesel,3,3.19,628,6303,860,Medium,Mixed,0,244.83
Truck,Diesel,5,3.1,324,3216,859,Medium,Highway,0,124.52
Truck,Petrol,12,3.3,444,10645,9089,Low,Mixed,0,182.42
Mini Truck,Diesel,6,8.73,72,3526,3077,High,Mixed,1,13.52
Truck,Petrol,11,4.4,908,11583,5384,Medium,Highway,0,267.53
Truck,Diesel,8,4.02,743,8532,2713,Low,Highway,1,219.52
Van,Petrol,9,13.47,818,1465,281,Medium,Mixed,0,80.11
Van,Petrol,2,14.67,48,716,436,High,Mixed,0,5.26
Mini Truck,Diesel,3,9.58,920,3772,2440,High,Mixed,1,142.22
Bus,Petrol,8,4.55,516,0,0,Medium,Highway,0,134.86
Mini Truck,Petrol,9,9.45,837,1028,372,Medium,Mixed,0,119.32
Bus,Petrol,8,4.73,35,0,0,Low,Mixed,1,8.04
Bus,Diesel,3,3.43,186,1,0,Low,City,0,64.03
Mini Truck,Petrol,9,7.41,427,2867,1063,High,City,0,88.8
Mini Truck,Petrol,11,8.73,654,1271,894,High,Highway,0,108.87
Bus,Diesel,2,3.64,878,0,0,Medium,City,0,307.62
Mini Truck,Diesel,1,7.92,222,1039,445,Medium,Highway,1,37.51
Van,Petrol,4,13.22,654,1923,230,High,Highway,0,62.45
Bus,Petrol,9,3.13,30,0,0,Medium,Highway,1,10.23
Truck,Diesel,6,5.57,123,3767,603,Medium,Highway,1,27.72
Mini Truck,Petrol,12,8.2,433,2589,1191,High,Highway,0,76.0
Bus,Diesel,5,4.1,23,0,0,Medium,Highway,0,6.17
Bus,Petrol,7,3.52,522,0,0,High,Mixed,1,212.32
Truck,Petrol,8,3.74,782,8520,5258,Low,Highway,0,247.44
Mini Truck,Petrol,6,9.23,626,1548,479,Medium,Mixed,1,92.1
Truck,Petrol,6,3.78,800,9166,747,High,Mixed,1,300.79
Van,Diesel,12,11.3,825,814,302,Medium,City,1,110.61
Bus,Petrol,8,3.94,386,0,0,Low,City,0,122.89
Truck,Petrol,4,3.18,145,11192,7599,Medium,City,1,65.75
Mini Truck,Diesel,8,8.66,120,1250,443,Medium,City,1,19.35
Van,Diesel,3,14.33,880,1107,149,Medium,Mixed,1,79.9
Mini Truck,Diesel,7,6.2,360,3304,707,Medium,City,1,81.32
Van,Petrol,3,12.33,479,1114,93,Medium,City,1,52.2
Van,Diesel,8,12.92,167,1272,423,Medium,Highway,0,16.06
Bus,Diesel,12,4.1,447,1,1,High,Highway,1,168.86
Van,Diesel,9,11.59,641,1532,973,Low,City,0,74.89
Bus,Petrol,10,4.36,78,0,0,High,City,1,26.36
Van,Petrol,1,11.08,986,552,537,High,Highway,1,128.9
Van,Petrol,12,9.5,459,1170,920,Medium,Highway,1,69.93
Van,Petrol,7,11.7,629,1470,1024,Medium,City,1,78.89
Bus,Petrol,3,3.87,620,0,0,High,Highway,0,201.23
Bus,Diesel,3,3.95,486,1,0,High,Highway,0,153.46
Truck,Diesel,3,5.83,125,5412,3949,Low,Highway,1,25.64
Bus,Petrol,7,4.21,453,1,0,Low,Highway,1,121.46
Van,Petrol,2,10.73,610,1631,827,High,Highway,0,76.09
Bus,Diesel,2,4.67,232,0,0,High,Highway,0,62.29
Truck,Diesel,12,4.24,931,3227,391,Medium,Highway,1,284.81
Bus,Petrol,2,3.12,909,0,0,Low,City,1,355.04
Truck,Diesel,2,4.2,928,6178,3650,Low,City,0,281.28
Truck,Petrol,10,3.59,875,6026,3385,Medium,Highway,1,328.01
Bus,Petrol,10,3.45,903,0,0,Medium,Highway,1,326.18
Mini Truck,Petrol,4,9.66,247,1021,552,High,Highway,1,39.52
Bus,Petrol,1,3.31,131,1,1,High,Mixed,0,60.46
Van,Diesel,8,13.2,573,1510,369,Low,Highway,0,47.17
Mini Truck,Diesel,6,8.61,80,2222,1758,Low,City,1,11.44
Mini Truck,Petrol,11,7.32,903,1703,929,Low,Mixed,1,165.66
Bus,Diesel,10,3.98,483,1,0,High,Highway,1,166.92
Bus,Diesel,7,4.5,886,1,1,Low,Highway,0,246.77
Truck,Diesel,10,5.88,67,5814,4874,Low,Highway,0,13.95
Bus,Petrol,4,4.24,575,1,1,High,Highway,0,195.13
Van,Diesel,6,14.74,197,1006,211,Low,Highway,0,15.06
Bus,Diesel,1,3.31,372,1,1,Low,Highway,0,133.84
Bus,Petrol,6,4.59,251,0,0,Medium,Mixed,1,67.88
Van,Diesel,4,10.16,890,832,301,Low,City,0,109.67
Mini Truck,Diesel,1,9.25,597,1109,710,High,Mixed,0,90.96
Truck,Diesel,5,5.26,920,4482,1324,High,Highway,1,240.38
Bus,Petrol,6,4.82,994,0,0,Low,Highway,0,222.18
Van,Petrol,7,10.19,336,1485,941,High,City,1,53.33
Van,Diesel,1,11.3,907,1719,1586,Medium,Mixed,0,108.47
Van,Petrol,6,12.73,155,700,600,Low,City,1,18.33
Truck,Diesel,2,4.44,430,6803,5919,Low,City,1,133.9
Mini Truck,Petrol,3,8.67,959,3083,2578,Medium,City,1,164.27
Truck,Diesel,12,3.08,479,9975,1973,Low,Highway,0,180.45
Van,Petrol,6,14.25,215,1053,125,Low,Mixed,0,19.99
Truck,Petrol,12,3.69,30,8437,5810,Medium,Highway,1,9.98
Van,Diesel,2,12.49,263,715,306,High,Highway,1,29.35
Mini Truck,Petrol,11,6.56,149,2909,2479,Medium,Mixed,1,32.81
Van,Diesel,2,12.01,858,983,725,Medium,Mixed,1,99.45
Truck,Diesel,12,5.78,810,3121,1239,High,City,1,224.72
Truck,Petrol,8,4.9,921,6248,1711,Low,Highway,1,221.16
Bus,Diesel,6,4.75,189,0,0,Medium,City,1,53.76
Mini Truck,Petrol,1,9.53,824,2366,2062,Medium,Mixed,0,117.63
Van,Petrol,12,11.62,434,1478,276,Low,Highway,1,46.06
Mini Truck,Petrol,3,8.63,332,1689,742,Low,Mixed,1,46.17
Bus,Diesel,10,3.78,196,0,0,Low,City,0,64.88
Truck,Diesel,6,5.19,795,9647,2752,Medium,City,0,207.68
Mini Truck,Diesel,10,9.04,33,1738,1323,Low,Highway,0,3.01
Van,Petrol,2,10.72,628,1674,358,Low,Highway,1,64.68
Mini Truck,Diesel,12,7.77,428,1550,839,Low,City,1,77.71
Truck,Petrol,7,3.58,876,4093,1954,Medium,Mixed,0,329.8
Truck,Diesel,10,3.22,271,4382,1799,Medium,Highway,0,107.73
Van,Diesel,5,14.02,992,691,88,High,Highway,1,93.37
Truck,Diesel,7,5.9,492,11665,2352,Medium,Mixed,0,106.59
Bus,Petrol,5,3.8,505,1,0,Medium,Highway,1,160.7
Bus,Diesel,12,4.05,35,1,0,High,City,0,15.38
Mini Truck,Diesel,4,7.09,865,1369,910,Medium,Mixed,0,161.54
Van,Diesel,4,14.9,440,905,805,Low,Highway,1,34.66
Bus,Diesel,7,3.6,752,0,0,Low,City,1,267.53
Bus,Petrol,2,4.83,490,0,0,Low,City,1,124.24
Mini Truck,Petrol,8,9.8,899,1129,864,High,Highway,1,135.44
Bus,Diesel,10,4.95,848,1,1,Low,City,1,254.18
Bus,Diesel,9,4.1,108,0,0,Medium,Mixed,0,30.29
Van,Petrol,12,10.1,593,845,293,Low,City,1,81.17
Bus,Petrol,2,4.54,244,0,0,Medium,City,1,71.34
Bus,Diesel,9,4.65,603,1,1,Low,Highway,1,172.28
Bus,Petrol,12,3.45,448,0,0,High,Mixed,0,183.18
Bus,Petrol,3,3.4,84,1,1,High,Highway,0,35.43
Bus,Diesel,9,4.75,779,1,1,Medium,Highway,0,223.57
Mini Truck,Petrol,4,7.29,36,3416,2471,Low,Mixed,0,6.48
Mini Truck,Diesel,5,8.69,520,1204,624,High,Mixed,1,88.28
Truck,Petrol,4,4.37,302,11561,4291,Low,City,0,86.37
Mini Truck,Petrol,2,8.17,896,2848,2669,Medium,City,1,162.07
Mini Truck,Petrol,3,8.72,433,2588,957,High,Highway,1,68.64
Bus,Diesel,9,3.75,980,0,0,Low,Highway,1,298.95
Mini Truck,Diesel,10,9.37,362,1045,630,Low,Mixed,1,51.43
Mini Truck,Diesel,5,9.91,790,2488,1687,Medium,Highway,1,105.44
Truck,Diesel,12,3.74,626,7374,3480,High,Highway,0,236.77
Truck,Petrol,8,4.93,857,6456,182,Medium,City,0,231.72
Van,Diesel,12,10.1,953,1340,973,High,Mixed,1,150.98
Truck,Diesel,9,4.36,356,11307,7059,Low,Mixed,1,111.94
Truck,Petrol,8,5.25,331,9794,3348,High,Highway,1,87.66
Mini Truck,Diesel,12,9.38,888,3611,1321,Low,Mixed,1,126.33
Van,Diesel,2,13.17,683,620,268,High,City,0,77.32
Mini Truck,Petrol,1,7.63,879,1843,382,Low,Highway,1,126.75
Van,Diesel,8,10.15,201,1688,1190,High,Mixed,0,31.95
Van,Petrol,2,12.37,924,1357,661,Low,Highway,1,86.92
Truck,Petrol,12,5.74,453,3099,2186,Medium,Mixed,1,117.03
Van,Petrol,10,10.75,755,561,211,High,Mixed,0,103.02
Truck,Diesel,6,3.91,309,3315,462,Medium,Mixed,1,105.4
Mini Truck,Diesel,7,8.4,859,1260,696,High,City,0,158.74
Truck,Petrol,5,5.99,298,11691,2660,Low,Mixed,1,59.99
Van,Diesel,12,9.88,861,1920,1389,High,Highway,1,130.9
Truck,Petrol,8,4.51,669,3091,1582,Medium,Mixed,1,207.74
Van,Diesel,6,14.3,904,1580,1187,Low,Highway,1,77.76
Bus,Diesel,11,4.02,224,1,0,Medium,Highway,0,67.35
Mini Truck,Diesel,10,9.91,325,2688,2583,Low,City,0,48.15
Van,Diesel,9,12.77,675,564,530,Low,City,0,73.94
Mini Truck,Diesel,9,6.66,198,2698,2253,High,City,1,49.31
Bus,Diesel,11,4.7,548,1,0,High,Mixed,1,170.3
Van,Petrol,11,10.65,572,654,429,Low,City,0,75.03
Mini Truck,Diesel,3,9.2,155,2663,1605,Low,Mixed,0,17.83
Van,Diesel,4,12.75,670,1434,116,Low,City,0,62.57
Bus,Petrol,5,3.44,677,1,0,Medium,City,1,265.94
Truck,Diesel,3,3.03,697,7837,6639,High,Highway,1,335.56
Van,Petrol,4,11.45,981,538,92,Low,Highway,1,95.43
Bus,Diesel,1,3.37,434,1,1,High,Highway,0,179.33
Mini Truck,Petrol,1,6.53,404,2202,992,Medium,Highway,1,77.53
Truck,Petrol,6,3.67,533,9961,4191,Low,Mixed,1,183.06
Bus,Petrol,11,3.03,914,0,0,Medium,Mixed,1,402.78
Van,Diesel,6,14.25,530,1667,925,Low,Mixed,1,47.23
Bus,Petrol,7,3.3,150,0,0,Low,City,0,55.23
Mini Truck,Petrol,8,8.42,437,3559,2166,Medium,Mixed,0,70.35
Van,Petrol,10,10.86,946,1492,1365,Low,Highway,0,107.52
Bus,Diesel,10,4.05,189,0,0,Medium,Mixed,0,60.81
Truck,Petrol,7,4.19,617,10433,9325,Medium,Highway,0,197.51
Bus,Petrol,10,4.97,622,0,0,High,Mixed,0,175.99
Van,Petrol,9,13.41,547,1318,1138,Medium,Mixed,1,58.82
Mini Truck,Diesel,6,9.67,328,2776,50,Low,Highway,1,37.52
Van,Diesel,9,14.69,642,1015,916,Low,Highway,1,56.91
Van,Diesel,10,9.51,30,758,412,Low,Highway,0,4.5
Bus,Petrol,1,4.3,170,1,1,High,Mixed,0,59.71
Bus,Diesel,1,4.74,242,0,0,Medium,Highway,0,55.79
Van,Petrol,6,9.91,576,1801,1727,Medium,Highway,0,77.55
Mini Truck,Petrol,11,7.53,824,1654,1520,High,Mixed,0,172.94
Bus,Diesel,6,4.24,76,0,0,High,Highway,0,24.69
Bus,Diesel,1,4.14,458,1,1,High,Highway,1,162.36
Mini Truck,Diesel,10,9.76,684,3233,139,Medium,City,0,96.1
Truck,Diesel,8,4.98,977,7030,5144,Low,City,1,277.06
Mini Truck,Diesel,9,7.72,176,2364,1967,High,Mixed,1,37.94
Truck,Petrol,4,5.39,283,8035,4020,Low,Mixed,0,64.03
Bus,Diesel,2,4.31,890,1,1,Medium,Highway,0,267.41
Truck,Petrol,8,4.49,528,5778,600,Medium,Highway,0,142.64
Mini Truck,Diesel,10,9.05,170,1734,92,High,City,0,28.63
Van,Petrol,4,10.26,325,582,194,High,Highway,1,42.87
Bus,Petrol,8,3.57,818,0,0,Medium,City,1,315.63
Truck,Petrol,12,5.88,813,9815,2108,Low,City,0,181.3
Truck,Petrol,7,3.96,664,4168,3860,Low,Mixed,1,229.72
Truck,Petrol,12,3.72,627,5727,4409,Medium,Highway,1,237.65
Bus,Petrol,4,4.94,639,0,0,Low,Mixed,1,151.72
Truck,Petrol,6,4.63,348,4295,781,Medium,City,1,106.72
Mini Truck,Petrol,4,8.41,68,1479,815,High,City,1,13.89
Truck,Diesel,5,3.03,840,7027,6790,Low,Mixed,1,375.58
Bus,Petrol,2,4.08,799,0,0,Low,Mixed,0,216.55
Van,Diesel,9,9.14,411,928,602,Medium,Highway,0,57.52
Van,Petrol,9,12.33,663,1901,570,High,Mixed,0,78.12
Mini Truck,Diesel,3,7.57,734,1644,1245,Medium,Highway,1,129.8
Bus,Petrol,12,4.2,759,0,0,Low,City,1,238.28
Van,Diesel,1,14.6,327,1738,959,Medium,Highway,0,26.07
Mini Truck,Petrol,1,8.02,514,3478,2287,Low,Mixed,0,76.66
Truck,Diesel,10,5.1,879,4518,4430,High,Mixed,1,279.02
Van,Diesel,2,10.2,407,797,399,Low,Highway,1,45.35
Bus,Petrol,9,3.09,839,0,0,Medium,Highway,0,322.67
Truck,Diesel,10,4.97,485,3529,1209,High,Mixed,0,140.95
Van,Diesel,6,10.36,27,1463,1388,Medium,City,1,4.01
Bus,Petrol,5,3.96,904,0,0,High,Mixed,0,309.26
Van,Diesel,8,13.5,783,1092,799,Low,Mixed,1,76.73
Van,Petrol,7,14.26,437,1495,793,Low,City,0,42.14
Van,Petrol,12,13.55,392,1269,5,Low,Highway,0,33.03
Mini Truck,Diesel,12,8.14,402,1067,265,Medium,Mixed,1,70.12
Truck,Diesel,7,4.55,970,3793,1354,Low,City,0,273.0
Truck,Petrol,7,3.72,65,3137,1519,Low,Mixed,0,22.64
Mini Truck,Petrol,1,8.5,31,3407,494,Low,Mixed,0,2.76
Truck,Diesel,1,5.42,49,6887,5235,Low,City,0,12.79
Truck,Petrol,6,3.47,795,6277,3768,Medium,Mixed,1,320.51
Bus,Diesel,2,4.15,421,0,0,Low,Highway,1,109.21
Truck,Diesel,8,4.05,697,11077,4837,Medium,City,1,249.61
Van,Diesel,6,10.71,308,1640,1238,High,City,1,45.4
Van,Diesel,2,12.34,143,1791,1149,High,Mixed,1,17.93
Bus,Petrol,9,3.42,427,1,1,Medium,Highway,0,169.91
Bus,Diesel,2,3.99,342,1,0,High,City,1,123.98
Truck,Diesel,7,3.31,337,9881,2286,High,City,0,149.21
Mini Truck,Diesel,5,7.8,795,3622,631,Medium,City,0,136.71
Van,Diesel,6,13.8,536,628,374,Medium,Highway,0,47.74
Bus,Diesel,11,3.01,715,1,0,High,Mixed,0,335.6
Mini Truck,Petrol,2,7.26,559,1221,710,Medium,Mixed,0,101.21
Bus,Diesel,3,3.51,234,0,0,Low,Mixed,1,76.5
Bus,Petrol,10,3.53,769,1,1,High,City,0,360.15
Truck,Petrol,12,5.82,75,10660,9560,Medium,Mixed,1,19.79
Truck,Diesel,11,5.8,465,11708,6518,High,City,1,130.05
Van,Petrol,6,11.33,260,752,567,Low,City,1,30.82
Bus,Petrol,7,4.09,403,0,0,High,City,0,139.53
Van,Diesel,12,13.16,575,1470,181,Medium,Highway,0,54.69
Truck,Diesel,3,3.08,520,8896,7085,Low,Highway,0,196.22
Van,Petrol,4,13.72,599,772,215,Medium,City,1,60.81
Truck,Diesel,9,5.76,801,8278,3933,Low,City,1,190.97
Mini Truck,Diesel,5,6.66,656,2939,969,High,Highway,0,131.75
Bus,Diesel,1,3.27,42,0,0,High,Highway,1,16.08
Truck,Diesel,7,4.85,837,6734,6235,Low,Mixed,1,235.46
Bus,Diesel,4,4.92,639,1,0,High,Mixed,0,174.91
Truck,Petrol,6,5.46,882,4377,2689,Medium,Mixed,1,226.65
Van,Petrol,1,14.49,466,1406,662,High,Mixed,0,45.23
Van,Diesel,2,9.18,422,1967,1704,Medium,Highway,0,59.22
Van,Diesel,7,14.96,174,1984,1595,Low,City,1,14.61
Mini Truck,Petrol,4,6.82,927,1308,848,High,Mixed,0,198.91
Mini Truck,Petrol,5,8.92,23,1115,907,Low,Mixed,1,4.16
Truck,Diesel,7,5.39,193,8489,5131,High,Mixed,1,53.52
Van,Petrol,2,13.37,830,576,484,High,City,0,95.39
Van,Petrol,5,9.11,464,1827,1778,Medium,City,0,75.09
Mini Truck,Petrol,7,6.55,882,3331,9,Medium,Highway,0,157.45
Truck,Diesel,12,4.21,385,11328,10852,High,City,1,157.0
Mini Truck,Diesel,5,8.29,629,2094,1290,Medium,Mixed,0,103.46
Truck,Diesel,10,5.1,878,10936,9409,High,Mixed,1,277.59
Truck,Petrol,10,5.74,55,11291,7000,High,Mixed,1,13.39
Bus,Diesel,5,4.19,166,0,0,Medium,City,1,54.23
Van,Diesel,3,13.47,934,1709,526,Medium,Highway,0,83.79
Truck,Diesel,12,4.64,96,11743,10664,High,Highway,1,32.6
Bus,Petrol,4,3.5,736,0,0,Low,Highway,1,230.52
Mini Truck,Diesel,3,9.64,740,3423,2175,Medium,City,1,113.29
Van,Diesel,6,11.39,732,1444,1032,Medium,Highway,0,84.05
Van,Diesel,8,12.16,514,1618,1329,Low,City,1,60.65
Truck,Petrol,9,3.15,734,4262,1637,High,City,1,369.22
Mini Truck,Petrol,8,8.99,569,3355,2455,Medium,City,0,92.69
Bus,Petrol,11,3.89,217,1,1,High,Mixed,0,88.73
Truck,Petrol,3,3.6,879,4955,415,High,Highway,0,308.47
Mini Truck,Diesel,7,7.6,448,1030,202,Medium,City,1,84.71
Mini Truck,Petrol,5,7.32,989,3725,2141,Medium,City,1,195.39
Bus,Petrol,6,3.2,280,0,0,Medium,City,1,120.84
Truck,Diesel,1,4.16,553,10313,5530,Medium,Mixed,0,171.62
Bus,Diesel,6,3.14,281,1,1,Medium,Highway,0,118.24
Van,Petrol,5,10.56,646,1549,1205,Medium,City,0,88.53
Van,Diesel,4,12.18,37,1594,872,High,Highway,1,2.0
Mini Truck,Diesel,12,6.25,438,1081,502,Low,Highway,1,88.6
Bus,Diesel,4,4.03,197,1,0,Low,Mixed,1,58.26
Truck,Diesel,1,5.95,90,7554,6117,Low,City,0,19.04
Mini Truck,Diesel,10,7.9,918,2985,2358,Medium,Highway,1,161.92
Bus,Diesel,9,3.54,391,0,0,Medium,Mixed,1,148.14
Truck,Petrol,6,5.74,382,10602,3352,Medium,Mixed,1,89.03
Bus,Diesel,10,3.64,606,0,0,Medium,Mixed,0,211.83
Bus,Diesel,3,4.32,192,1,0,High,Mixed,1,63.11
Bus,Diesel,11,4.74,840,0,0,Low,Highway,1,207.92
Van,Petrol,9,10.68,215,535,479,Medium,Highway,0,27.2
Van,Diesel,10,13.46,502,1861,941,Medium,Mixed,1,54.21
Mini Truck,Petrol,10,7.46,336,1465,1344,Low,Mixed,1,64.45
Bus,Diesel,4,3.01,879,0,0,High,City,1,425.47
Bus,Diesel,10,3.84,682,0,0,Low,Highway,1,203.66
Truck,Petrol,12,4.65,490,7586,1357,Medium,City,1,154.5
Van,Diesel,8,10.15,432,505,196,Low,Mixed,0,54.37
Truck,Petrol,2,5.95,499,11677,1479,High,Mixed,0,113.29
